RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
8957,Bronx,2012,5,8,12,45,105,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
22517,Bronx,2016,3,27,12,15,103,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
8957,Bronx,2012,5,7,21,45,89,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
7598,Bronx,2007,3,23,12,0,381,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,CARYL AV,NB
8957,Bronx,2012,5,7,19,15,138,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
8957,Bronx,2012,5,5,19,15,110,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
22517,Bronx,2016,3,12,18,0,138,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,14,16,0,96,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
22517,Bronx,2016,3,24,20,0,104,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,4,2,6,0,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
32395,Bronx,2020,9,4,0,0,30,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
8957,Bronx,2012,5,3,3,15,15,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
3433,Bronx,2008,4,7,17,0,565,81472,POINT (1012824.7 271127.7),N/B BROADWAY @ W 262 ST - CARYL AVE,W 262 ST,DEAD END,NB
30153,Bronx,2019,3,22,16,0,171,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
32395,Bronx,2020,9,1,18,30,213,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,22,22,0,48,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
7530,Bronx,2010,4,5,13,15,104,81472,POINT (1012824.7 271127.7),BROADWAY @ CARYL AVE (CITY LINE),W 262 ST,DEAD END,NB
19461,Bronx,2015,3,19,19,15,129,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,17,17,0,139,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,SB
32395,Bronx,2020,8,28,13,30,143,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
26799,Bronx,2017,4,10,0,30,49,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
22517,Bronx,2016,3,28,5,45,65,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,3,22,20,30,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
22517,Bronx,2016,3,27,23,45,44,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
8957,Bronx,2012,5,5,14,15,119,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
22517,Bronx,2016,3,19,5,30,49,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,SB
28006,Bronx,2018,4,2,18,0,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,26,16,15,111,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,SB
19461,Bronx,2015,3,25,0,15,5,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,21,18,15,115,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
26799,Bronx,2017,3,29,17,15,125,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
26799,Bronx,2017,4,8,10,30,97,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
22517,Bronx,2016,3,19,0,0,53,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
26799,Bronx,2017,4,4,5,30,24,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
22517,Bronx,2016,3,26,7,30,50,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,3,18,9,30,77,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
32395,Bronx,2020,9,2,20,45,81,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
32395,Bronx,2020,9,4,0,30,27,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
8957,Bronx,2012,5,7,7,0,82,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
11685,Bronx,2013,3,24,16,30,62,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
3433,Bronx,2008,4,20,10,0,0,81472,POINT (1012824.7 271127.7),N/B BROADWAY @ W 262 ST - CARYL AVE,W 262 ST,DEAD END,NB
22517,Bronx,2016,3,15,4,30,27,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,27,5,45,61,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,SB
11685,Bronx,2013,3,30,6,15,32,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
7530,Bronx,2010,4,6,17,30,135,81472,POINT (1012824.7 271127.7),BROADWAY @ CARYL AVE (CITY LINE),W 262 ST,DEAD END,NB
16687,Bronx,2014,3,18,20,45,72,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
30153,Bronx,2019,3,21,1,30,18,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,4,3,22,30,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
32395,Bronx,2020,8,30,5,45,21,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
11685,Bronx,2013,4,1,23,30,41,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
7530,Bronx,2010,4,4,1,30,66,81472,POINT (1012824.7 271127.7),BROADWAY @ CARYL AVE (CITY LINE),W 262 ST,DEAD END,NB
28006,Bronx,2018,3,27,4,0,10,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,24,7,45,196,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,SB
26799,Bronx,2017,3,30,21,15,120,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,23,4,30,5,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
16687,Bronx,2014,3,28,12,15,87,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
22517,Bronx,2016,3,16,14,15,99,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,SB
7530,Bronx,2010,3,25,17,45,132,81472,POINT (1012824.7 271127.7),BROADWAY @ CARYL AVE (CITY LINE),W 262 ST,DEAD END,NB
19461,Bronx,2015,3,26,20,0,75,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
11685,Bronx,2013,3,29,22,0,83,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
32395,Bronx,2020,8,26,16,30,181,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,4,6,10,30,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
32395,Bronx,2020,8,25,21,30,87,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,3,30,18,45,35,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
30153,Bronx,2019,4,3,15,0,152,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
26799,Bronx,2017,4,1,21,45,64,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
32395,Bronx,2020,8,26,5,45,30,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
26799,Bronx,2017,4,5,17,15,161,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,3,21,13,45,0,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB
22517,Bronx,2016,3,12,8,30,71,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
30153,Bronx,2019,3,27,7,15,206,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
22517,Bronx,2016,3,20,9,0,51,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
19461,Bronx,2015,3,29,14,15,95,81472,POINT (1012824.4084410012 271144.5180141923),BROADWAY,West 262 Street,Dead end,NB
26799,Bronx,2017,4,9,8,0,51,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
22517,Bronx,2016,3,12,22,30,73,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,NB
28006,Bronx,2018,3,20,9,0,129,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
16687,Bronx,2014,3,22,10,15,94,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
11685,Bronx,2013,3,23,23,45,83,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,SB
30153,Bronx,2019,3,20,18,30,79,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,SB
16687,Bronx,2014,3,25,11,30,76,81472,POINT (1012824.7 271127.7),BROADWAY,W 262 ST,DEAD END,NB
22517,Bronx,2016,3,16,22,15,40,81472,POINT (1012822.7793314003 271234.211475685),BROADWAY,West 262 Street,Dead end,SB
7530,Bronx,2010,4,6,19,45,115,81472,POINT (1012824.7 271127.7),BROADWAY @ CARYL AVE (CITY LINE),W 262 ST,DEAD END,NB
